Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	sound.id	marker	old.selec
55.3614550664918	57.086035565358	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	55.3614550664918	18	Spectrogram 1	1	0	4461.3	JG13_Lp024.WAV_2	end_marker	18
58.086035565358	59.9309562002786	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	58.086035565358	19	Spectrogram 1	1	205.1	4769	JG13_Lp024.WAV_3	end_marker	19
60.9309562002786	62.7137226401879	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	60.9309562002786	20	Spectrogram 1	1	205.1	4769	JG13_Lp024.WAV_4	end_marker	20
63.7137226401879	65.5652645903013	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	63.7137226401879	21	Spectrogram 1	1	0	4204.9	JG13_Lp031.WAV_1	end_marker	21
66.5652645903013	68.5792101685326	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	66.5652645903013	22	Spectrogram 1	1	0	4204.9	JG13_Lp031.WAV_2	end_marker	22
69.5792101685326	71.888960735426	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	69.5792101685326	23	Spectrogram 1	1	141.1	4091.9	JG13_Lp035.WAV_1	end_marker	23
72.888960735426	75.3198904406414	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	72.888960735426	24	Spectrogram 1	1	176.4	4338.9	JG13_Lp035.WAV_2	end_marker	24
76.3198904406414	78.0634051798704	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	76.3198904406414	25	Spectrogram 1	1	0	4374.1	JG13_Lp036.WAV_1	end_marker	25
79.0634051798704	81.0980083544736	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	79.0634051798704	26	Spectrogram 1	1	211.7	4197.8	JG13_Lp044.WAV_1	end_marker	26
82.0980083544736	84.2932464497117	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	82.0980083544736	27	Spectrogram 1	1	176.4	4303.6	JG13_Lp044.WAV_2	end_marker	27
85.2932464497117	87.340162549485	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	85.2932464497117	28	Spectrogram 1	1	211.7	6914	JG13_Lp045.WAV_1	end_marker	28
88.340162549485	90.4163076742015	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	88.340162549485	29	Spectrogram 1	1	149.7	6984.2	JG13_Lp045.WAV_2	end_marker	29
91.4163076742015	93.5665344315711	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	91.4163076742015	30	Spectrogram 1	1	246.9	5185.5	JG13_Lp046.WAV_1	end_marker	30
94.5665344315711	96.514833751299	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	94.5665344315711	31	Spectrogram 1	1	211.7	4621.1	JG13_Lp046.WAV_2	end_marker	31
97.514833751299	99.4595956560609	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	97.514833751299	32	Spectrogram 1	1	246.9	4903.3	JG13_Lp046.WAV_3	end_marker	32
100.459595656061	102.234312209349	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	100.459595656061	33	Spectrogram 1	1	141.1	4691.6	JG13_Lp046.WAV_4	end_marker	33
103.234312209349	105.218031030211	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	103.234312209349	34	Spectrogram 1	1	246.9	4621.1	JG13_Lp046.WAV_5	end_marker	34
106.218031030211	108.265514023408	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	106.218031030211	35	Spectrogram 1	1	176.4	4726.9	JG13_Lp046.WAV_6	end_marker	35
109.265514023408	111.469663683272	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	109.265514023408	36	Spectrogram 1	1	176.4	4338.9	JG13_Lp047.WAV_1	end_marker	36
112.469663683272	114.711817878283	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	112.469663683272	37	Spectrogram 1	1	249.4	5936.5	JG13_Lp062.WAV_1	end_marker	37
115.711817878283	117.872906313658	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	115.711817878283	38	Spectrogram 1	1	218.4	4294.3	JG13_Lp062.WAV_2	end_marker	38
118.872906313658	119.872906313658	PB_Lpa_0001_T1_Ashton_M_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0001_T1_Ashton_M_1m.wav	118.872906313658	39	Spectrogram 1	1	1172.32545392787	2648.15842700099	end_marker	end_marker	39
123.860462567755	124.860462567755	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	3.38372787387756	40	Spectrogram 1	1	1172.32545392787	2648.15842700099	start_marker	end_marker	1
125.860462567755	127.558421751429	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	5.38372787387756	41	Spectrogram 1	1	0	4112.5	JG13_Lp003.WAV_1	end_marker	2
128.558421751429	130.661369597234	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	8.08168705755103	42	Spectrogram 1	1	0	4485.9	JG13_Lp009.WAV_1	end_marker	3
131.661369597234	133.724634903356	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	11.184634903356	43	Spectrogram 1	1	0	4703.6	JG13_Lp009.WAV_2	end_marker	4
134.724634903356	136.933387737823	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	14.2479002094785	44	Spectrogram 1	1	0	4006.8	JG13_Lp009.WAV_3	end_marker	5
137.933387737823	140.201981842132	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	17.4566530439456	45	Spectrogram 1	1	0	8191.8	JG13_Lp012.WAV_1	end_marker	6
141.201981842132	143.534589551882	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	20.725247148254	46	Spectrogram 1	1	0	7637.4	JG13_Lp012.WAV_2	end_marker	7
