Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	sound.id	marker	row	old.selec
4.26772403476521	5.26772403476521	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	4.26772403476521	1	Spectrogram 1	1	1172.32545392787	2648.15842700099	start_marker	end_marker	1	1
6.26772403476521	6.34101201662462	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	6.26772403476521	2	Spectrogram 1	1	495.8	4517.7	JG13_Lp007.WAV_1	end_marker	2	2
7.34101201662462	7.4170210869194	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	7.34101201662462	3	Spectrogram 1	1	743.8	4820.8	JG13_Lp007.WAV_2	end_marker	3	3
8.41702108691941	8.50117074678335	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	8.41702108691941	4	Spectrogram 1	1	716.2	4572.8	JG13_Lp007.WAV_3	end_marker	4	4
9.50117074678335	9.5663181390736	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	9.50117074678335	5	Spectrogram 1	1	743.8	6005.3	JG13_Lp007.WAV_4	end_marker	5	5
10.5663181390736	10.639606120933	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	10.5663181390736	6	Spectrogram 1	1	743.8	4407.5	JG13_Lp007.WAV_5	end_marker	6	6
11.639606120933	11.7074746016586	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	11.639606120933	7	Spectrogram 1	1	743.8	4710.6	JG13_Lp007.WAV_6	end_marker	7	7
12.7074746016586	12.780762583518	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	12.7074746016586	8	Spectrogram 1	1	661.1	4765.7	JG13_Lp007.WAV_7	end_marker	8	8
13.780762583518	13.8404904746745	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	13.780762583518	9	Spectrogram 1	1	771.3	4793.2	JG13_Lp007.WAV_8	end_marker	9	9
14.8404904746745	14.9137784565339	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	14.8404904746745	10	Spectrogram 1	1	716.2	4738.1	JG13_Lp007.WAV_9	end_marker	10	10
15.9137784565339	15.9762047603888	PB_Lpa_0002_T1_Ashton_F_1m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0002_T1_Ashton_F_1m.wav	15.9137784565339	11	Spectrogram 1	1	633.6	4627.9	JG13_Lp007.WAV_10	end_marker	11	11
