"sound.files","selec","start","end","bottom.freq","top.freq","sound.id","marker","sex","distance","site","transect","reference","blur.ratio","spectrum.blur.ratio","excess.attenuation","envelope.correlation","spectrum.correlation","signal.to.noise.ratio","tail.to.noise.ratio","tail.to.signal.ratio","cross.correlation"
"PB_Lpa_0004_T1_Ashton_F_2m.wav_13",1,0.1,0.1729024943311,0,7.4695,"JG13_Lp019.WAV_2","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_13-1",0.0461333367274594,0.0940632114933525,5.84293717986414,0.984930754927735,0.989344303011183,14.3603027474003,0.466996439097483,-16.0202298508257,0.799716485046957
"PB_Lpa_0004_T1_Ashton_F_2m.wav_14",1,0.1,0.1678684807256,0,7.9046,"JG13_Lp019.WAV_3","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_14-1",0.0647567972831561,0.148303567513528,6.44312041440561,0.969353866761213,0.969137547915648,11.0649051244063,-0.475651539099368,-13.2014180777171,0.731356964691261
"PB_Lpa_0004_T1_Ashton_F_2m.wav_15",1,0.1,0.165374149659899,0,8.8474,"JG13_Lp019.WAV_4","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_15-1",0.0607785002368396,0.157525328416698,5.99778822664713,0.961373970126619,0.9564671037553,10.8257300536531,-0.67593382348927,-13.0341501442709,0.762788184723817
"PB_Lpa_0004_T1_Ashton_F_2m.wav_16",1,0.1,0.1603401360544,0,7.9046,"JG13_Lp019.WAV_5","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_16-1",0.054081647343346,0.128795596647122,6.37837591415623,0.964733348714692,0.974690456396481,14.2503936546045,-4.3440460721335,-20.8370388524453,0.818320474263725
"PB_Lpa_0004_T1_Ashton_F_2m.wav_17",1,0.1,0.156394557823101,0,4.769,"JG13_Lp023.WAV_1","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_17-1",0.0372957279892163,0.132020591745437,4.25203070098353,0.988339127086393,0.965679311365261,24.8942564635486,0.153802544401501,-28.6436692480862,0.860003652338119
"PB_Lpa_0004_T1_Ashton_F_2m.wav_18",1,0.1,0.162108843537402,0.5641,4.8202,"JG13_Lp023.WAV_2","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_18-1",0.0631570824844479,0.176459246104678,5.07274639578554,0.976278444409323,0.960924591481335,23.5352847360361,-2.09204592029918,-29.3096191512193,0.854717327352034
"PB_Lpa_0004_T1_Ashton_F_2m.wav_19",1,0.1,0.164943310657597,0.5128,3.6408,"JG13_Lp023.WAV_3","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_19-1",0.0733883015245655,0.181359202885286,3.35326170739717,0.971214217704452,0.93141576718444,21.2212286400505,5.74607299688571,-18.8745896120607,0.780823165264544
"PB_Lpa_0004_T1_Ashton_F_2m.wav_20",1,0.1,0.167800453514803,0.5641,4.051,"JG13_Lp023.WAV_4","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_20-1",0.0452200419769302,0.224305173716444,3.79384276244972,0.9889745840984,0.94313330371572,14.5112206103159,1.85796519295545,-14.9029737835186,0.699704579870853
"PB_Lpa_0004_T1_Ashton_F_2m.wav_21",1,0.1,0.1518367346939,0.5037,5.3521,"JG13_Lp027.WAV_1","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_21-1",0.0563621618425524,0.135616052958488,4.86936597121077,0.976673515511435,0.960506092314642,17.9569989102333,0.504590343563913,-20.1556439048491,0.81381703708692
"PB_Lpa_0004_T1_Ashton_F_2m.wav_22",1,0.1,0.154149659863899,0.6297,5.541,"JG13_Lp027.WAV_2","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_22-1",0.0353740991747534,0.141489023702737,4.28172587817399,0.995395036584921,0.952021310743256,17.6296558330916,0.0157398090408557,-20.3375289896316,0.838010729288536
"PB_Lpa_0004_T1_Ashton_F_2m.wav_23",1,0.1,0.153378684807299,0.5667,4.9113,"JG13_Lp027.WAV_3","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_23-1",0.0632791211233662,0.166836097764953,5.76696401288036,0.965978034365346,0.95790469249426,17.2097655414706,-3.53456789213329,-23.3014432216734,0.825698196543551
"PB_Lpa_0004_T1_Ashton_F_2m.wav_24",1,0.1,0.154920634920599,0.6297,6.8003,"JG13_Lp027.WAV_4","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_24-1",0.0643367597712887,0.211345163239642,5.31383191787765,0.971126052080921,0.915245843896524,7.97706436436131,-2.84437995951602,-12.0167151626589,0.759526362460578
"PB_Lpa_0004_T1_Ashton_F_2m.wav_25",1,0.1,0.153378684807303,0.3778,6.8003,"JG13_Lp027.WAV_5","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_25-1",0.0340022390682714,0.184179844662982,4.62949896834846,0.98983759315894,0.961132240879555,12.0952784406979,-1.11330637563491,-15.2403057616213,0.787936410089679
"PB_Lpa_0004_T1_Ashton_F_2m.wav_26",1,0.1,0.151836734693797,0.5667,8.6263,"JG13_Lp027.WAV_6","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_26-1",0.0300654589054386,0.175889819898034,4.90566868613274,0.992648749742432,0.967767510513363,11.7430589888851,-0.927154253584109,-14.4746136195715,0.736550505361324
"PB_Lpa_0004_T1_Ashton_F_2m.wav_27",1,0.1,0.154920634920702,0.4408,8.3745,"JG13_Lp027.WAV_7","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_27-1",0.0207439185862106,0.150162399773495,4.71433296133982,0.996190733707369,0.987602442887747,12.6792510272764,-0.842188574150921,-15.3907419128356,0.781726690512553
"PB_Lpa_0004_T1_Ashton_F_2m.wav_28",1,0.1,0.1595691609977,0.6297,7.9337,"JG13_Lp027.WAV_8","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_28-1",0.0285739682890704,0.143191857239312,5.19403868854673,0.995676744631522,0.960694936776663,9.97507812747563,-1.52603350926742,-13.0775354540172,0.763335941284896
"PB_Lpa_0004_T1_Ashton_F_2m.wav_29",1,0.1,0.170725623582799,1.0375,6.64,"JG13_Lp028.WAV_1","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_29-1",0.0456758479697926,0.137196430097759,6.02528878583503,0.993287016834661,0.979250223032338,16.4789560647177,2.51642070273173,-16.5032149859578,0.800897490090485
"PB_Lpa_0004_T1_Ashton_F_2m.wav_30",1,0.1,0.166666666666599,0.913,6.557,"JG13_Lp028.WAV_2","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_30-1",0.0427713300647515,0.167051575881498,5.62713293450521,0.996018652612043,0.92994335828821,13.690299071739,3.10932579131051,-12.6722694538573,0.755234202345044
"PB_Lpa_0004_T1_Ashton_F_2m.wav_31",1,0.1,0.1747619047619,0.5395,6.557,"JG13_Lp028.WAV_3","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_31-1",0.0947734118134789,0.147617919692561,4.97594198044355,0.98927855045594,0.882920394302041,11.775869283454,-0.76934212533332,-14.3409086093362,0.759878016438441
"PB_Lpa_0004_T1_Ashton_F_2m.wav_32",1,0.1,0.166666666666698,0.498,6.557,"JG13_Lp028.WAV_4","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_32-1",0.049787712510047,0.13444059342567,5.37232770259109,0.989800269676289,0.974668357130543,12.1128899732264,0.751318594204775,-13.2665293783528,0.801891026125474
"PB_Lpa_0004_T1_Ashton_F_2m.wav_33",1,0.1,0.170725623582803,0.5395,5.7685,"JG13_Lp028.WAV_5","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_33-1",0.0736958044666059,0.210894315908106,6.03746132708195,0.965529494739003,0.818082462650743,17.2710829838409,-2.55953658674083,-22.5043536286262,0.76740175990572
"PB_Lpa_0004_T1_Ashton_F_2m.wav_34",1,0.1,0.168662131519197,0.4102,5.6407,"JG13_Lp030.WAV_1","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_34-1",0.0655734708788791,0.124662578376735,5.3738690924575,0.983983789824489,0.964633299928327,21.0906149144472,1.64165853404156,-22.6981827608903,0.824462648207326
"PB_Lpa_0004_T1_Ashton_F_2m.wav_35",1,0.1,0.166870748299401,0.6485,8.6803,"JG13_Lp034.WAV_1","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_35-1",0.083908579970073,0.194433122804458,5.80717223438701,0.979767421503027,0.959769147379393,11.3007684677458,0.054286050194994,-13.0153213105165,0.738644031921878
"PB_Lpa_0004_T1_Ashton_F_2m.wav_36",1,0.1,0.1678231292517,0.6984,5.1882,"JG13_Lp034.WAV_2","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_36-1",0.0700638005486952,0.107964299845568,5.78597556464446,0.981643100926633,0.956223538650391,16.1569569902019,-0.542013136941821,-19.1596270486205,0.813832576221162
"PB_Lpa_0004_T1_Ashton_F_2m.wav_37",1,0.1,0.161133786848004,0.5488,5.2381,"JG13_Lp034.WAV_3","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_37-1",0.0596985367806148,0.119526117252446,6.30900278370615,0.988229311112026,0.947933371844387,18.7358075729749,1.25272012584729,-20.2549552413748,0.85001881128705
"PB_Lpa_0004_T1_Ashton_F_2m.wav_38",1,0.1,0.159229024943299,0.8481,8.5805,"JG13_Lp034.WAV_4","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_38-1",0.0470014110655879,0.174826417125843,5.2047417433485,0.992187927547219,0.975504971637986,12.3958551459838,1.49155820206986,-12.7678815113341,0.74573278273947
"PB_Lpa_0004_T1_Ashton_F_2m.wav_39",1,0.1,0.166870748299401,0.7483,4.9887,"JG13_Lp034.WAV_5","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_39-1",0.0582444473198946,0.132970764924862,4.4171339521656,0.989038089263472,0.934131393709008,19.6707067061895,-0.91714025510359,-23.570700679692,0.80860967622121
"PB_Lpa_0004_T1_Ashton_F_2m.wav_40",1,0.1,0.1764172335601,0.4989,6.6848,"JG13_Lp034.WAV_6","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_40-1",0.0711760046395583,0.164702560723221,6.2598580127252,0.990033175650438,0.942893109022326,13.8552790648175,4.80230659986255,-11.170727279682,0.790119447873328
"PB_Lpa_0004_T1_Ashton_F_2m.wav_41",1,0.1,0.178730158730096,0.6984,7.8821,"JG13_Lp039.WAV_1","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_41-1",0.0875357971818401,0.186375271632903,6.16532012475548,0.972501643938617,0.932042924924539,9.29042847243111,-0.525771652616423,-11.1828453664705,0.777028849424884
"PB_Lpa_0004_T1_Ashton_F_2m.wav_42",1,0.1,0.174920634920701,0.5488,7.9819,"JG13_Lp039.WAV_2","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_42-1",0.0746546845150073,0.202049813431436,5.34838831989254,0.973969011733272,0.924335000002714,9.49127061433365,0.681148522295943,-10.2182052772679,0.765307945235278
"PB_Lpa_0004_T1_Ashton_F_2m.wav_43",1,0.1,0.169841269841298,0.449,7.5329,"JG13_Lp039.WAV_3","end_marker","females",2,"Ashton","T1","PB_Lpa_0002_T1_Ashton_F_1m.wav_43-1",0.0501297022994944,0.206214825019964,5.44966760743864,0.974355241934632,0.874565240679494,8.46244939702587,0.552632108493026,-9.24915524641545,0.707239342380995
