"sound.files","selec","start","end","bottom.freq","top.freq","sound.id","marker","sex","distance","site","transect"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",17,19.875821812596,19.9322163704191,0,4.769,"JG13_Lp023.WAV_1","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",18,20.9322163704191,20.9943252139565,0.5641,4.8202,"JG13_Lp023.WAV_2","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",19,21.9943252139565,22.0592685246141,0.5128,3.6408,"JG13_Lp023.WAV_3","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",20,23.0592685246141,23.1270689781289,0.5641,4.051,"JG13_Lp023.WAV_4","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",21,24.1270689781289,24.1789057128228,0.5037,5.3521,"JG13_Lp027.WAV_1","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",22,25.1789057128228,25.2330553726867,0.6297,5.541,"JG13_Lp027.WAV_2","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",23,26.2330553726867,26.286434057494,0.5667,4.9113,"JG13_Lp027.WAV_3","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",24,27.286434057494,27.3413546924146,0.6297,6.8003,"JG13_Lp027.WAV_4","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",25,28.3413546924146,28.3947333772219,0.3778,6.8003,"JG13_Lp027.WAV_5","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",26,29.3947333772219,29.4465701119157,0.5667,8.6263,"JG13_Lp027.WAV_6","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",27,30.4465701119157,30.5014907468364,0.4408,8.3745,"JG13_Lp027.WAV_7","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",28,31.5014907468364,31.5610599078341,0.6297,7.9337,"JG13_Lp027.WAV_8","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",29,32.5610599078341,32.6317855314169,1.0375,6.64,"JG13_Lp028.WAV_1","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",30,33.6317855314169,33.6984521980835,0.913,6.557,"JG13_Lp028.WAV_2","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",31,34.6984521980835,34.7732141028454,0.5395,6.557,"JG13_Lp028.WAV_3","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",32,35.7732141028454,35.8398807695121,0.498,6.557,"JG13_Lp028.WAV_4","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",33,36.8398807695121,36.9106063930949,0.5395,5.7685,"JG13_Lp028.WAV_5","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",34,37.9106063930949,37.9792685246141,0.4102,5.6407,"JG13_Lp030.WAV_1","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",35,38.9792685246141,39.0461392729135,0.6485,8.6803,"JG13_Lp034.WAV_1","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",36,40.0461392729135,40.1139624021652,0.6984,5.1882,"JG13_Lp034.WAV_2","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",37,41.1139624021652,41.1750961890132,0.5488,5.2381,"JG13_Lp034.WAV_3","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",38,42.1750961890132,42.2343252139565,0.8481,8.5805,"JG13_Lp034.WAV_4","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",39,43.2343252139565,43.3011959622559,0.7483,4.9887,"JG13_Lp034.WAV_5","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",40,44.3011959622559,44.377613195816,0.4989,6.6848,"JG13_Lp034.WAV_6","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",41,45.377613195816,45.4563433545461,0.6984,7.8821,"JG13_Lp039.WAV_1","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",42,46.4563433545461,46.5312639894668,0.5488,7.9819,"JG13_Lp039.WAV_2","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",43,47.5312639894667,47.601105259308,0.449,7.5329,"JG13_Lp039.WAV_3","end_marker","females","4m","Ashton","T1"
"PB_Lpa_0006_T1_Ashton_F_4m.wav",44,48.601105259308,48.6639397264282,0.8481,9.4785,"JG13_Lp042.WAV_1","end_marker","females","4m","Ashton","T1"
